Год,Регион,mean_salary,flat_count,latitude,distance_to_moscow_km,Population,district
2000,Чувашская Республика,1139.9,5308,56.15,700,1334.0,ПФО
2000,Республика Саха (...,3967.7,3409,62.0281,5000,963.0,ДВФО
2000,Еврейская автоном...,1488.8,144,48.4667,6700,195.0,ДВФО
2001,Алтайский край,1690.7,4722,53.3548,3600,2641.0,СФО
2001,Амурская область,2313.0,1275,50.2907,6500,923.0,ДВФО
2001,Архангельская обл...,3041.1,1322,64.5393,1200,1369.0,СЗФО
2001,Ненецкий авт.округ,5887.6,181,67.6383,1500,41.0,СЗФО
2001,Астраханская область,2333.3,3567,46.3497,1400,1009.0,ЮФО
2001,Белгородская область,2121.4,6624,50.5978,700,1507.0,ЦФО
2001,Брянская область,1818.3,2737,53.2521,380,1408.0,ЦФО
2001,Владимирская область,1665.9,3313,56.1282,180,1558.0,ЦФО
2001,Волгоградская обл...,2163.0,4152,48.7078,970,2725.0,ЮФО
2001,Вологодская область,2719.0,3349,59.2239,450,1290.0,СЗФО
2001,Воронежская область,2039.7,7083,51.6608,520,2422.0,ЦФО
2001,Нижегородская обл...,2406.6,6122,56.3269,420,3595.0,ПФО
2001,Ивановская область,1297.8,1140,57.0003,300,1179.0,ЦФО
2001,Иркутская область,2879.5,2190,52.2864,5200,2623.0,СФО
2001,Республика Ингушетия,908.5,241,43.1667,1700,446.0,СКФО
2001,Калининградская о...,2339.6,1992,54.7104,1100,958.0,СЗФО
2001,Тверская область,1689.6,3402,56.8587,180,1520.0,ЦФО
2001,Калужская область,1782.1,2507,54.5143,190,1060.0,ЦФО
2001,Центральный федер...,4299.6,130268,55.7558,0,38175.0,ЦФО
2001,Краснодарский край,2124.6,12893,45.0355,1200,5133.0,ЮФО
2001,Камчатский край,4559.1,170,53.0444,6770,367.0,ДВФО
2001,Северо-Западный ф...,3084.1,32367,59.9343,635,14199.0,СЗФО
2001,Кемеровская область,3086.5,5523,55.3333,3600,2943.0,СФО
2001,Приволжский федер...,2319.4,89631,55.83,800,31532.0,ПФО
2001,Кировская область,1830.6,3261,58.6035,900,1537.0,ПФО
2001,Уральский федерал...,3819.8,34847,56.8389,1800,12471.0,УрФО
2001,Костромская область,1904.5,2618,57.7679,350,754.0,ЦФО
2001,Сибирский федерал...,2576.0,32794,55.0415,3300,20333.0,СФО
2001,Дальневосточный ф...,3303.9,12828,43.1155,9300,6832.0,ДВФО
2001,Самарская область,3262.6,8556,53.1959,1050,3276.0,ПФО
2001,Южный федеральный...,1907.9,47904,45.0355,1200,14060.0,ЮФО
2001,Курганская область,1784.8,1233,55.4412,1900,1047.0,УрФО
2001,Курская область,1979.9,2266,51.7373,500,1267.0,ЦФО
2001,Красноярский край,3571.8,5032,56.0153,4100,3001.0,СФО
2001,г.Санкт-Петербург,3425.8,15179,59.9343,635,4715.0,СЗФО
2001,Ленинградская обл...,1868.7,5198,59.9343,635,1680.0,СЗФО
2001,Липецкая область,2261.2,4378,52.6031,420,1228.0,ЦФО
2001,Магаданская область,5069.3,105,59.5681,5900,194.0,ДВФО
2001,г.Москва,10282.0,52204,55.7558,0,10114.0,ЦФО
2001,Московская область,2626.4,29163,55.7558,0,6614.0,ЦФО
2001,Мурманская область,4620.2,107,68.9792,1900,923.0,СЗФО
2001,Новгородская область,2407.7,1336,58.5214,530,710.0,СЗФО
2001,Приморский край,2367.2,2933,43.1155,9300,2120.0,ДВФО
2001,Новосибирская обл...,2140.3,5292,55.0415,3300,2715.0,СФО
2001,Омская область,2341.4,2112,54.9924,2700,2117.0,СФО
2001,Оренбургская область,1927.4,4614,51.7674,1400,2203.0,ПФО
2001,Орловская область,1963.2,2722,52.9668,360,877.0,ЦФО
2001,Пензенская область,1708.3,2362,53.1959,640,1484.0,ПФО
2001,Пермский край,3253.9,6785,58.0105,1400,2859.0,ПФО
2001,Псковская область,1847.7,1312,57.8169,690,782.0,СЗФО
2001,Ростовская область,2270.6,10869,47.2225,1100,4439.0,ЮФО
2001,Рязанская область,1852.8,1907,54.6292,200,1259.0,ЦФО
2001,Саратовская область,2035.2,5893,51.5331,840,2699.0,ПФО
2001,Сахалинская область,3872.4,396,46.9641,6700,560.0,ДВФО
2001,Свердловская область,2994.2,7535,56.8389,1800,4546.0,УрФО
2001,Смоленская область,2336.4,2049,54.7818,370,1082.0,ЦФО
2001,Тамбовская область,2072.0,2341,52.7236,480,1213.0,ЦФО
2001,Томская область,2851.3,2911,56.4846,3600,1054.0,СФО
2001,Ставропольский край,1766.5,5338,45.0428,1400,2741.0,ЮФО
2001,Тульская область,2015.1,1451,54.1931,180,1719.0,ЦФО
2001,Тюменская область,7108.8,18116,57.1522,2100,3234.0,УрФО
2001,Ханты-Мансийский ...,9594.0,11049,60.95,2300,1383.0,УрФО
2001,Ямало-Ненецкий ав...,10732.8,1617,66.53,2500,498.0,УрФО
2001,Ульяновская область,1717.1,2961,54.3142,890,1414.0,ПФО
2001,Челябинская область,2500.2,7963,55.1644,1900,3644.0,УрФО
2001,Забайкальский край,2011.5,1119,52.05,6000,1179.0,СФО
2001,Чукотский авт.округ,7951.9,172,64.7333,6000,57.0,ДВФО
2001,Ярославская область,2518.2,2364,57.6291,270,1394.0,ЦФО
2001,Республика Адыгея,1642.5,843,44.6101,1500,447.0,ЮФО
2001,Хабаровский край,3395.8,2182,48.4808,6100,1460.0,ДВФО
2001,Республика Башкор...,2400.2,17117,54.7388,1300,4115.0,ПФО
2001,Республика Бурятия,2262.4,2396,51.8333,5200,997.0,СФО
2001,Республика Дагестан,1141.2,5318,42.9833,1600,2486.0,СКФО
2001,Кабардино-Балкарс...,1465.7,1791,43.4833,1700,887.0,СКФО
2001,Республика Алтай,1620.0,245,51.9582,3600,203.0,СФО
2001,Республика Калмыкия,1545.5,814,46.3078,1300,307.0,ЮФО
2001,Республика Карелия,2930.8,1022,61.785,1000,729.0,СЗФО
2001,Республика Коми,4862.1,1551,61.6667,1300,1043.0,СЗФО
2001,Республика Марий Эл,1387.6,1871,56.63,800,739.0,ПФО
2001,Республика Мордовия,1570.2,2066,54.1833,600,908.0,ПФО
2001,Республика Северн...,1632.2,1479,43.02,1900,704.0,СКФО
2001,Карачаево-Черкесс...,1341.7,600,44.22,1400,441.0,СКФО
2001,Республика Татарстан,2471.8,19046,55.83,800,3787.0,ПФО
2001,Республика Тыва,1638.3,580,51.7,4200,306.0,СФО
2001,Удмуртская Респуб...,2024.7,3388,56.85,1100,1588.0,ПФО
2001,Республика Хакасия,2475.5,671,53.7167,4000,554.0,СФО
2001,Чувашская Республика,1553.3,5590,56.15,700,1328.0,ПФО
2001,Республика Саха (...,5009.9,5468,62.0281,5000,958.0,ДВФО
2001,Еврейская автоном...,2028.9,127,48.4667,6700,193.0,ДВФО
2002,Алтайский край,2194.2,4030,53.3548,3600,2607.0,СФО
