"Регион","alpha_i","alpha_rounded","beta_rounded","formula_math"
"Республика Коми",3.87524459155238,3.8752,0.4064,"log(flat_count) = 3.8752 + 0.4064 × log(mean_salary)"
"Республика Марий Эл",4.44372317789912,4.4437,0.4064,"log(flat_count) = 4.4437 + 0.4064 × log(mean_salary)"
"Республика Мордовия",4.48668352802691,4.4867,0.4064,"log(flat_count) = 4.4867 + 0.4064 × log(mean_salary)"
"Республика Саха (...",4.52598056167168,4.526,0.4064,"log(flat_count) = 4.526 + 0.4064 × log(mean_salary)"
"Республика Северн...",3.91855953962296,3.9186,0.4064,"log(flat_count) = 3.9186 + 0.4064 × log(mean_salary)"
"Республика Татарстан",6.34051731861726,6.3405,0.4064,"log(flat_count) = 6.3405 + 0.4064 × log(mean_salary)"
"Республика Тыва",2.79811753058705,2.7981,0.4064,"log(flat_count) = 2.7981 + 0.4064 × log(mean_salary)"
"Республика Хакасия",3.69110098387064,3.6911,0.4064,"log(flat_count) = 3.6911 + 0.4064 × log(mean_salary)"
"Ростовская область",6.03470327048713,6.0347,0.4064,"log(flat_count) = 6.0347 + 0.4064 × log(mean_salary)"
"Рязанская область",4.86845043162624,4.8685,0.4064,"log(flat_count) = 4.8685 + 0.4064 × log(mean_salary)"
"Самарская область",5.6379151792204,5.6379,0.4064,"log(flat_count) = 5.6379 + 0.4064 × log(mean_salary)"
"Саратовская область",5.56630481152362,5.5663,0.4064,"log(flat_count) = 5.5663 + 0.4064 × log(mean_salary)"
"Сахалинская область",3.03667718977082,3.0367,0.4064,"log(flat_count) = 3.0367 + 0.4064 × log(mean_salary)"
"Свердловская область",5.81737739319773,5.8174,0.4064,"log(flat_count) = 5.8174 + 0.4064 × log(mean_salary)"
"Северо-Западный ф...",7.26628088418643,7.2663,0.4064,"log(flat_count) = 7.2663 + 0.4064 × log(mean_salary)"
"Северо-Кавказский...",6.45069382055648,6.4507,0.4064,"log(flat_count) = 6.4507 + 0.4064 × log(mean_salary)"
"Сибирский федерал...",7.45527090089548,7.4553,0.4064,"log(flat_count) = 7.4553 + 0.4064 × log(mean_salary)"
"Смоленская область",4.55423591321745,4.5542,0.4064,"log(flat_count) = 4.5542 + 0.4064 × log(mean_salary)"
"Ставропольский край",5.55815226370606,5.5582,0.4064,"log(flat_count) = 5.5582 + 0.4064 × log(mean_salary)"
"Тамбовская область",4.70779705701627,4.7078,0.4064,"log(flat_count) = 4.7078 + 0.4064 × log(mean_salary)"
"Тверская область",4.750678324843,4.7507,0.4064,"log(flat_count) = 4.7507 + 0.4064 × log(mean_salary)"
"Томская область",4.85034715233932,4.8503,0.4064,"log(flat_count) = 4.8503 + 0.4064 × log(mean_salary)"
"Тульская область",4.41134515629771,4.4113,0.4064,"log(flat_count) = 4.4113 + 0.4064 × log(mean_salary)"
"Тюменская область",6.1056690904072,6.1057,0.4064,"log(flat_count) = 6.1057 + 0.4064 × log(mean_salary)"
"Удмуртская Респуб...",4.96400604520442,4.964,0.4064,"log(flat_count) = 4.964 + 0.4064 × log(mean_salary)"
"Ульяновская область",4.68925180304662,4.6893,0.4064,"log(flat_count) = 4.6893 + 0.4064 × log(mean_salary)"
"Уральский федерал...",7.10472189331955,7.1047,0.4064,"log(flat_count) = 7.1047 + 0.4064 × log(mean_salary)"
"Хабаровский край",4.32126593526202,4.3213,0.4064,"log(flat_count) = 4.3213 + 0.4064 × log(mean_salary)"
"Ханты-Мансийский ...",5.23888679090098,5.2389,0.4064,"log(flat_count) = 5.2389 + 0.4064 × log(mean_salary)"
"Центральный федер...",8.3075792495956,8.3076,0.4064,"log(flat_count) = 8.3076 + 0.4064 × log(mean_salary)"
"Челябинская область",5.870782547135,5.8708,0.4064,"log(flat_count) = 5.8708 + 0.4064 × log(mean_salary)"
"Чеченская Республика",3.36767524450085,3.3677,0.4064,"log(flat_count) = 3.3677 + 0.4064 × log(mean_salary)"
"Чувашская Республика",5.49488757755226,5.4949,0.4064,"log(flat_count) = 5.4949 + 0.4064 × log(mean_salary)"
"Чукотский авт.округ",0.370062066223181,0.3701,0.4064,"log(flat_count) = 0.3701 + 0.4064 × log(mean_salary)"
"Южный федеральный...",7.50047404833554,7.5005,0.4064,"log(flat_count) = 7.5005 + 0.4064 × log(mean_salary)"
"Ямало-Ненецкий ав...",3.770341937847,3.7703,0.4064,"log(flat_count) = 3.7703 + 0.4064 × log(mean_salary)"
"Ярославская область",4.6188822958419,4.6189,0.4064,"log(flat_count) = 4.6189 + 0.4064 × log(mean_salary)"
